main 2020-10-23 20:16:58,414 INFO  *********************Log4j2 Instantiated**************************
main 2020-10-23 20:16:58,417 DEBUG db.driver : com.mysql.jdbc.Driver
main 2020-10-23 20:16:58,417 DEBUG db.url : jdbc:mysql://localhost:3306/db1
main 2020-10-23 20:16:58,417 DEBUG db.username : root
main 2020-10-23 20:16:58,417 DEBUG db.password : root
main 2020-10-23 20:16:58,417 DEBUG db.filename : applicationLog4j2.xml
main 2020-10-23 20:16:58,417 INFO  properties file loaded
main 2020-10-23 20:16:58,417 DEBUG app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
main 2020-10-23 20:16:58,418 INFO  *******************Main start*******************
main 2020-10-23 20:16:58,419 INFO  *******************Main end*******************
Thread-3 2020-10-23 20:16:58,512 INFO  DBLog  36,104 DBLog  db.driver : com.mysql.jdbc.Driver
Thread-1 2020-10-23 20:16:58,512 INFO  APPlog   36,104 APPlog   db.username : root
Thread-3 2020-10-23 20:16:58,512 INFO  DBLog  36,104 DBLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-1 2020-10-23 20:16:58,512 INFO  APPlog   36,104 APPlog   db.password : root
Thread-3 2020-10-23 20:16:58,512 INFO  DBLog  36,104 DBLog  db.username : root
Thread-1 2020-10-23 20:16:58,512 INFO  APPlog   36,104 APPlog   db.filename : applicationLog4j2.xml
Thread-1 2020-10-23 20:16:58,512 INFO  APPlog   36,104 APPlog    properties file loaded
Thread-3 2020-10-23 20:16:58,512 INFO  DBLog  36,104 DBLog  db.password : root
Thread-4 2020-10-23 20:16:58,511 INFO  MOVIElog   36,103 MOVIElog    properties file loaded
Thread-1 2020-10-23 20:16:58,512 INFO  APPlog   36,104 APPlog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-3 2020-10-23 20:16:58,512 INFO  DBLog  36,104 DBLog  db.filename : applicationLog4j2.xml
Thread-2 2020-10-23 20:16:58,512 INFO  CATLog  36,103 CATLog  db.driver : com.mysql.jdbc.Driver
Thread-4 2020-10-23 20:16:58,512 INFO  MOVIElog   36,103 MOVIElog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-3 2020-10-23 20:16:58,512 INFO  DBLog  36,104 DBLog   properties file loaded
Thread-1 2020-10-23 20:16:58,512 INFO  APPlog   36,104 APPlog   db.driver : com.mysql.jdbc.Driver
Thread-4 2020-10-23 20:16:58,512 INFO  MOVIElog   36,104 MOVIElog   db.driver : com.mysql.jdbc.Driver
Thread-3 2020-10-23 20:16:58,512 INFO  DBLog  36,104 DBLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,512 INFO  CATLog  36,103 CATLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-4 2020-10-23 20:16:58,512 INFO  MOVIElog   36,104 MOVIElog   db.url : jdbc:mysql://localhost:3306/db1
Thread-1 2020-10-23 20:16:58,512 INFO  APPlog   36,104 APPlog   db.url : jdbc:mysql://localhost:3306/db1
Thread-4 2020-10-23 20:16:58,513 INFO  MOVIElog   36,104 MOVIElog   db.username : root
Thread-2 2020-10-23 20:16:58,512 INFO  CATLog  36,103 CATLog  db.username : root
Thread-4 2020-10-23 20:16:58,513 INFO  MOVIElog   36,104 MOVIElog   db.password : root
Thread-3 2020-10-23 20:16:58,512 INFO  DBLog  36,104 DBLog  db.driver : com.mysql.jdbc.Driver
Thread-2 2020-10-23 20:16:58,513 INFO  CATLog  36,103 CATLog  db.password : root
Thread-2 2020-10-23 20:16:58,513 INFO  CATLog  36,103 CATLog  db.filename : applicationLog4j2.xml
Thread-3 2020-10-23 20:16:58,513 INFO  DBLog  36,104 DBLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-4 2020-10-23 20:16:58,513 INFO  MOVIElog   36,104 MOVIElog   db.filename : applicationLog4j2.xml
Thread-1 2020-10-23 20:16:58,513 INFO  APPlog   36,104 APPlog   db.username : root
Thread-4 2020-10-23 20:16:58,513 INFO  MOVIElog   36,104 MOVIElog    properties file loaded
Thread-1 2020-10-23 20:16:58,513 INFO  APPlog   36,104 APPlog   db.password : root
Thread-2 2020-10-23 20:16:58,513 INFO  CATLog  36,103 CATLog   properties file loaded
Thread-1 2020-10-23 20:16:58,513 INFO  APPlog   36,104 APPlog   db.filename : applicationLog4j2.xml
Thread-2 2020-10-23 20:16:58,513 INFO  CATLog  36,103 CATLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-1 2020-10-23 20:16:58,513 INFO  APPlog   36,104 APPlog    properties file loaded
Thread-3 2020-10-23 20:16:58,513 INFO  DBLog  36,104 DBLog  db.username : root
Thread-4 2020-10-23 20:16:58,513 INFO  MOVIElog   36,104 MOVIElog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,513 INFO  CATLog  36,104 CATLog  db.driver : com.mysql.jdbc.Driver
Thread-3 2020-10-23 20:16:58,514 INFO  DBLog  36,104 DBLog  db.password : root
Thread-1 2020-10-23 20:16:58,513 INFO  APPlog   36,105 APPlog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,514 INFO  CATLog  36,104 CATLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-3 2020-10-23 20:16:58,514 INFO  DBLog  36,104 DBLog  db.filename : applicationLog4j2.xml
Thread-1 2020-10-23 20:16:58,514 INFO  APPlog   36,105 APPlog   db.driver : com.mysql.jdbc.Driver
Thread-2 2020-10-23 20:16:58,514 INFO  CATLog  36,104 CATLog  db.username : root
Thread-3 2020-10-23 20:16:58,514 INFO  DBLog  36,104 DBLog   properties file loaded
Thread-1 2020-10-23 20:16:58,514 INFO  APPlog   36,105 APPlog   db.url : jdbc:mysql://localhost:3306/db1
Thread-2 2020-10-23 20:16:58,514 INFO  CATLog  36,104 CATLog  db.password : root
Thread-3 2020-10-23 20:16:58,514 INFO  DBLog  36,105 DBLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-4 2020-10-23 20:16:58,514 INFO  MOVIElog   36,104 MOVIElog   db.driver : com.mysql.jdbc.Driver
Thread-2 2020-10-23 20:16:58,514 INFO  CATLog  36,104 CATLog  db.filename : applicationLog4j2.xml
Thread-4 2020-10-23 20:16:58,514 INFO  MOVIElog   36,104 MOVIElog   db.url : jdbc:mysql://localhost:3306/db1
Thread-2 2020-10-23 20:16:58,514 INFO  CATLog  36,104 CATLog   properties file loaded
Thread-3 2020-10-23 20:16:58,514 INFO  DBLog  36,105 DBLog  db.driver : com.mysql.jdbc.Driver
Thread-1 2020-10-23 20:16:58,514 INFO  APPlog   36,105 APPlog   db.username : root
Thread-4 2020-10-23 20:16:58,514 INFO  MOVIElog   36,104 MOVIElog   db.username : root
Thread-3 2020-10-23 20:16:58,514 INFO  DBLog  36,105 DBLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-4 2020-10-23 20:16:58,514 INFO  MOVIElog   36,104 MOVIElog   db.password : root
Thread-2 2020-10-23 20:16:58,514 INFO  CATLog  36,104 CATLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-3 2020-10-23 20:16:58,514 INFO  DBLog  36,105 DBLog  db.username : root
Thread-1 2020-10-23 20:16:58,514 INFO  APPlog   36,105 APPlog   db.password : root
Thread-4 2020-10-23 20:16:58,514 INFO  MOVIElog   36,104 MOVIElog   db.filename : applicationLog4j2.xml
Thread-1 2020-10-23 20:16:58,514 INFO  APPlog   36,105 APPlog   db.filename : applicationLog4j2.xml
Thread-3 2020-10-23 20:16:58,514 INFO  DBLog  36,105 DBLog  db.password : root
Thread-1 2020-10-23 20:16:58,514 INFO  APPlog   36,105 APPlog    properties file loaded
Thread-3 2020-10-23 20:16:58,514 INFO  DBLog  36,105 DBLog  db.filename : applicationLog4j2.xml
Thread-2 2020-10-23 20:16:58,515 INFO  CATLog  36,104 CATLog  db.driver : com.mysql.jdbc.Driver
Thread-3 2020-10-23 20:16:58,515 INFO  DBLog  36,105 DBLog   properties file loaded
Thread-1 2020-10-23 20:16:58,515 INFO  APPlog   36,105 APPlog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-4 2020-10-23 20:16:58,514 INFO  MOVIElog   36,104 MOVIElog    properties file loaded
Thread-2 2020-10-23 20:16:58,515 INFO  CATLog  36,104 CATLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-1 2020-10-23 20:16:58,515 INFO  APPlog   36,105 APPlog   db.driver : com.mysql.jdbc.Driver
Thread-3 2020-10-23 20:16:58,515 INFO  DBLog  36,105 DBLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,515 INFO  CATLog  36,104 CATLog  db.username : root
Thread-1 2020-10-23 20:16:58,515 INFO  APPlog   36,105 APPlog   db.url : jdbc:mysql://localhost:3306/db1
Thread-2 2020-10-23 20:16:58,515 INFO  CATLog  36,104 CATLog  db.password : root
Thread-1 2020-10-23 20:16:58,515 INFO  APPlog   36,105 APPlog   db.username : root
Thread-4 2020-10-23 20:16:58,515 INFO  MOVIElog   36,105 MOVIElog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,515 INFO  CATLog  36,104 CATLog  db.filename : applicationLog4j2.xml
Thread-3 2020-10-23 20:16:58,515 INFO  DBLog  36,105 DBLog  db.driver : com.mysql.jdbc.Driver
Thread-1 2020-10-23 20:16:58,515 INFO  APPlog   36,105 APPlog   db.password : root
Thread-4 2020-10-23 20:16:58,515 INFO  MOVIElog   36,105 MOVIElog   db.driver : com.mysql.jdbc.Driver
Thread-3 2020-10-23 20:16:58,515 INFO  DBLog  36,105 DBLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-1 2020-10-23 20:16:58,515 INFO  APPlog   36,105 APPlog   db.filename : applicationLog4j2.xml
Thread-4 2020-10-23 20:16:58,515 INFO  MOVIElog   36,105 MOVIElog   db.url : jdbc:mysql://localhost:3306/db1
Thread-3 2020-10-23 20:16:58,515 INFO  DBLog  36,105 DBLog  db.username : root
Thread-1 2020-10-23 20:16:58,515 INFO  APPlog   36,106 APPlog    properties file loaded
Thread-4 2020-10-23 20:16:58,515 INFO  MOVIElog   36,105 MOVIElog   db.username : root
Thread-3 2020-10-23 20:16:58,515 INFO  DBLog  36,105 DBLog  db.password : root
Thread-2 2020-10-23 20:16:58,515 INFO  CATLog  36,104 CATLog   properties file loaded
Thread-1 2020-10-23 20:16:58,515 INFO  APPlog   36,106 APPlog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-4 2020-10-23 20:16:58,515 INFO  MOVIElog   36,105 MOVIElog   db.password : root
Thread-2 2020-10-23 20:16:58,515 INFO  CATLog  36,105 CATLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,515 INFO  CATLog  36,105 CATLog  db.driver : com.mysql.jdbc.Driver
Thread-4 2020-10-23 20:16:58,515 INFO  MOVIElog   36,105 MOVIElog   db.filename : applicationLog4j2.xml
Thread-3 2020-10-23 20:16:58,516 INFO  DBLog  36,105 DBLog  db.filename : applicationLog4j2.xml
Thread-2 2020-10-23 20:16:58,516 INFO  CATLog  36,105 CATLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-4 2020-10-23 20:16:58,516 INFO  MOVIElog   36,105 MOVIElog    properties file loaded
Thread-3 2020-10-23 20:16:58,516 INFO  DBLog  36,106 DBLog   properties file loaded
Thread-2 2020-10-23 20:16:58,516 INFO  CATLog  36,105 CATLog  db.username : root
Thread-2 2020-10-23 20:16:58,516 INFO  CATLog  36,105 CATLog  db.password : root
Thread-4 2020-10-23 20:16:58,516 INFO  MOVIElog   36,105 MOVIElog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-1 2020-10-23 20:16:58,515 INFO  APPlog   36,106 APPlog   db.driver : com.mysql.jdbc.Driver
Thread-4 2020-10-23 20:16:58,516 INFO  MOVIElog   36,105 MOVIElog   db.driver : com.mysql.jdbc.Driver
Thread-2 2020-10-23 20:16:58,516 INFO  CATLog  36,105 CATLog  db.filename : applicationLog4j2.xml
Thread-3 2020-10-23 20:16:58,516 INFO  DBLog  36,106 DBLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,516 INFO  CATLog  36,105 CATLog   properties file loaded
Thread-3 2020-10-23 20:16:58,516 INFO  DBLog  36,106 DBLog  db.driver : com.mysql.jdbc.Driver
Thread-2 2020-10-23 20:16:58,516 INFO  CATLog  36,105 CATLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,516 INFO  CATLog  36,105 CATLog  db.driver : com.mysql.jdbc.Driver
Thread-3 2020-10-23 20:16:58,516 INFO  DBLog  36,106 DBLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-4 2020-10-23 20:16:58,516 INFO  MOVIElog   36,105 MOVIElog   db.url : jdbc:mysql://localhost:3306/db1
Thread-1 2020-10-23 20:16:58,516 INFO  APPlog   36,106 APPlog   db.url : jdbc:mysql://localhost:3306/db1
Thread-4 2020-10-23 20:16:58,517 INFO  MOVIElog   36,105 MOVIElog   db.username : root
Thread-3 2020-10-23 20:16:58,517 INFO  DBLog  36,106 DBLog  db.username : root
Thread-1 2020-10-23 20:16:58,517 INFO  APPlog   36,106 APPlog   db.username : root
Thread-2 2020-10-23 20:16:58,517 INFO  CATLog  36,105 CATLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-4 2020-10-23 20:16:58,517 INFO  MOVIElog   36,105 MOVIElog   db.password : root
Thread-3 2020-10-23 20:16:58,517 INFO  DBLog  36,106 DBLog  db.password : root
Thread-2 2020-10-23 20:16:58,517 INFO  CATLog  36,105 CATLog  db.username : root
Thread-4 2020-10-23 20:16:58,517 INFO  MOVIElog   36,105 MOVIElog   db.filename : applicationLog4j2.xml
Thread-3 2020-10-23 20:16:58,517 INFO  DBLog  36,106 DBLog  db.filename : applicationLog4j2.xml
Thread-2 2020-10-23 20:16:58,517 INFO  CATLog  36,105 CATLog  db.password : root
Thread-4 2020-10-23 20:16:58,517 INFO  MOVIElog   36,106 MOVIElog    properties file loaded
Thread-2 2020-10-23 20:16:58,517 INFO  CATLog  36,105 CATLog  db.filename : applicationLog4j2.xml
Thread-1 2020-10-23 20:16:58,517 INFO  APPlog   36,106 APPlog   db.password : root
Thread-3 2020-10-23 20:16:58,517 INFO  DBLog  36,106 DBLog   properties file loaded
Thread-4 2020-10-23 20:16:58,517 INFO  MOVIElog   36,106 MOVIElog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,517 INFO  CATLog  36,106 CATLog   properties file loaded
Thread-3 2020-10-23 20:16:58,517 INFO  DBLog  36,106 DBLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-4 2020-10-23 20:16:58,517 INFO  MOVIElog   36,106 MOVIElog   db.driver : com.mysql.jdbc.Driver
Thread-2 2020-10-23 20:16:58,517 INFO  CATLog  36,106 CATLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-1 2020-10-23 20:16:58,517 INFO  APPlog   36,106 APPlog   db.filename : applicationLog4j2.xml
Thread-3 2020-10-23 20:16:58,517 INFO  DBLog  36,106 DBLog  db.driver : com.mysql.jdbc.Driver
Thread-4 2020-10-23 20:16:58,517 INFO  MOVIElog   36,106 MOVIElog   db.url : jdbc:mysql://localhost:3306/db1
Thread-1 2020-10-23 20:16:58,517 INFO  APPlog   36,106 APPlog    properties file loaded
Thread-3 2020-10-23 20:16:58,517 INFO  DBLog  36,106 DBLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-2 2020-10-23 20:16:58,517 INFO  CATLog  36,106 CATLog  db.driver : com.mysql.jdbc.Driver
Thread-4 2020-10-23 20:16:58,517 INFO  MOVIElog   36,106 MOVIElog   db.username : root
Thread-3 2020-10-23 20:16:58,517 INFO  DBLog  36,106 DBLog  db.username : root
Thread-1 2020-10-23 20:16:58,517 INFO  APPlog   36,106 APPlog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-2 2020-10-23 20:16:58,517 INFO  CATLog  36,106 CATLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-3 2020-10-23 20:16:58,518 INFO  DBLog  36,106 DBLog  db.password : root
Thread-1 2020-10-23 20:16:58,518 INFO  APPlog   36,106 APPlog   db.driver : com.mysql.jdbc.Driver
Thread-2 2020-10-23 20:16:58,518 INFO  CATLog  36,106 CATLog  db.username : root
Thread-3 2020-10-23 20:16:58,518 INFO  DBLog  36,106 DBLog  db.filename : applicationLog4j2.xml
Thread-4 2020-10-23 20:16:58,518 INFO  MOVIElog   36,106 MOVIElog   db.password : root
Thread-1 2020-10-23 20:16:58,518 INFO  APPlog   36,106 APPlog   db.url : jdbc:mysql://localhost:3306/db1
Thread-3 2020-10-23 20:16:58,518 INFO  DBLog  36,107 DBLog   properties file loaded
Thread-4 2020-10-23 20:16:58,518 INFO  MOVIElog   36,106 MOVIElog   db.filename : applicationLog4j2.xml
Thread-3 2020-10-23 20:16:58,518 INFO  DBLog  36,107 DBLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-4 2020-10-23 20:16:58,518 INFO  MOVIElog   36,106 MOVIElog    properties file loaded
Thread-2 2020-10-23 20:16:58,518 INFO  CATLog  36,106 CATLog  db.password : root
Thread-1 2020-10-23 20:16:58,518 INFO  APPlog   36,106 APPlog   db.username : root
Thread-4 2020-10-23 20:16:58,518 INFO  MOVIElog   36,106 MOVIElog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-1 2020-10-23 20:16:58,518 INFO  APPlog   36,106 APPlog   db.password : root
Thread-2 2020-10-23 20:16:58,518 INFO  CATLog  36,106 CATLog  db.filename : applicationLog4j2.xml
Thread-4 2020-10-23 20:16:58,518 INFO  MOVIElog   36,106 MOVIElog   db.driver : com.mysql.jdbc.Driver
Thread-1 2020-10-23 20:16:58,518 INFO  APPlog   36,106 APPlog   db.filename : applicationLog4j2.xml
Thread-2 2020-10-23 20:16:58,518 INFO  CATLog  36,106 CATLog   properties file loaded
Thread-3 2020-10-23 20:16:58,518 INFO  DBLog  36,107 DBLog  db.driver : com.mysql.jdbc.Driver
Thread-1 2020-10-23 20:16:58,518 INFO  APPlog   36,107 APPlog    properties file loaded
Thread-2 2020-10-23 20:16:58,518 INFO  CATLog  36,106 CATLog  app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-4 2020-10-23 20:16:58,518 INFO  MOVIElog   36,106 MOVIElog   db.url : jdbc:mysql://localhost:3306/db1
Thread-1 2020-10-23 20:16:58,518 INFO  APPlog   36,107 APPlog   app.folder.path : D:/githubRepo/hibernate/hibernate/inputFolder/
Thread-3 2020-10-23 20:16:58,518 INFO  DBLog  36,107 DBLog  db.url : jdbc:mysql://localhost:3306/db1
Thread-2 2020-10-23 20:16:58,518 INFO  CATLog  36,106 CATLog  db.driver : com.mysql.jdbc.Driver
Thread-3 2020-10-23 20:16:58,518 INFO  DBLog  36,107 DBLog  db.username : root
Thread-1 2020-10-23 20:16:58,518 INFO  APPlog   36,107 APPlog   db.driver : com.mysql.jdbc.Driver
Thread-4 2020-10-23 20:16:58,518 INFO  MOVIElog   36,106 MOVIElog   db.username : root
Thread-3 2020-10-23 20:16:58,518 INFO  DBLog  36,107 DBLog  db.password : root
Thread-4 2020-10-23 20:16:58,519 INFO  MOVIElog   36,106 MOVIElog   db.password : root
Thread-3 2020-10-23 20:16:58,519 INFO  DBLog  36,107 DBLog  db.filename : applicationLog4j2.xml
Thread-1 2020-10-23 20:16:58,519 INFO  APPlog   36,107 APPlog   db.url : jdbc:mysql://localhost:3306/db1
Thread-2 2020-10-23 20:16:58,518 INFO  CATLog  36,106 CATLog  db.url : jdbc:mysql://localhost:3306/db1
